team_abbreviation,season_year,n_players,n_malos,vara_value
ATL,1996,17,2,-0.49831251159258894
ATL,1997,16,2,-0.8639998714657164
ATL,1998,14,2,-0.45541499859240886
ATL,1999,13,2,-0.43546038930358133
ATL,2000,16,2,-0.699869068566992
ATL,2001,18,2,-0.4644882761421533
ATL,2002,20,2,-0.5653948713436808
ATL,2003,16,2,-0.5653275863956831
ATL,2004,17,2,-0.444553939442499
ATL,2005,13,2,-0.5454059043093495
ATL,2006,18,2,-0.5367285739049777
ATL,2007,12,2,-0.6183865303309991
ATL,2008,15,2,-0.5708054607131201
ATL,2009,14,2,-0.5691631609672779
ATL,2010,14,2,-0.3868163944482651
ATL,2011,15,2,-0.6247692266761161
ATL,2012,16,2,-0.4757847179224941
ATL,2013,16,2,-0.4069585500508123
ATL,2014,15,2,-0.2891918961351504
ATL,2015,15,2,-0.4304883881064692
ATL,2016,18,2,-0.5223008563222191
ATL,2017,19,2,-0.5951220233372997
ATL,2018,18,2,-0.44709956695213815
ATL,2019,18,2,-0.5838399858921527
BKN,2012,17,2,-0.9248474458773135
BKN,2013,17,2,-0.5486977370805836
BKN,2014,16,2,-0.499464511631666
BKN,2015,17,2,-0.5162481685300019
BKN,2016,18,2,-0.5035480484677871
BKN,2017,18,2,-0.437057484361969
BKN,2018,17,2,-0.39871489148892
BKN,2019,22,3,-0.5494928274105042
BOS,1996,17,2,-0.442903620551138
BOS,1997,14,2,-0.3214562996458323
BOS,1998,15,2,-0.5301543097327194
BOS,1999,14,2,-0.5702238441462012
BOS,2000,15,2,-0.4123603125700804
BOS,2001,14,2,-0.806820476343401
BOS,2002,15,2,-0.7639170794107624
BOS,2003,14,2,-0.800877088698873
BOS,2004,12,2,-0.19838914218099477
BOS,2005,14,2,-0.3682877157305254
BOS,2006,16,2,-0.5542033315072928
BOS,2007,15,2,-0.41193092917943347
BOS,2008,15,2,-0.4623190451781784
BOS,2009,15,2,-0.5250552699834992
BOS,2010,16,2,-0.593810485353577
BOS,2011,17,2,-0.5061314511154208
BOS,2012,17,2,-0.5901936527389666
BOS,2013,16,2,-0.6761291252562585
BOS,2014,14,2,-0.4614261049928352
BOS,2015,15,2,-0.6239775005439184
BOS,2016,15,2,-0.3790623257181994
BOS,2017,19,2,-0.6811322451531386
BOS,2018,16,2,-0.2911719468503857
BOS,2019,17,2,-0.6116070783465882
CHA,2004,17,2,-0.4263645222084501
CHA,2005,15,2,-0.3179985724282789
CHA,2006,16,2,-0.36105316752987904
CHA,2007,13,2,-0.40884774652618944
CHA,2008,17,2,-0.4475407584052651
CHA,2009,15,2,-0.4621209818925037
CHA,2010,16,2,-0.6500854808768226
CHA,2011,15,2,-0.7208912015052079
CHA,2012,18,2,-0.5951179113073143
CHA,2013,15,2,-0.4342285483897476
CHA,2014,16,2,-0.5247898607587494
CHA,2015,16,2,-0.552906989613366
CHA,2016,17,2,-0.7918144296236855
CHA,2017,17,2,-0.39318599132742355
CHA,2018,17,2,-0.35990272775910476
CHA,2019,14,2,-0.3769947934152816
CHH,1996,13,2,-0.378591130493934
CHH,1997,15,2,-0.45241852276307226
CHH,1998,15,2,-0.2505420075806041
CHH,1999,17,2,-0.8978377037781721
CHH,2000,15,2,-0.5951414692502457
CHH,2001,14,2,-0.3925442523595863
CHI,1996,15,2,-0.29717571532058756
CHI,1997,15,2,-0.40980703251651457
CHI,1998,15,2,-0.47706301986620286
CHI,1999,17,2,-0.3807567473815557
CHI,2000,16,2,-0.5858145752573465
CHI,2001,13,2,-0.34679607506366034
CHI,2002,15,2,-0.5329744885799829
CHI,2003,16,2,-0.34032447103445307
CHI,2004,15,2,-0.6156278657192793
CHI,2005,17,2,-0.4759440588735682
CHI,2006,14,2,-0.2003395866798871
CHI,2007,16,2,-0.7817342683813553
CHI,2008,13,2,-0.6351532945829467
CHI,2009,15,2,-0.8438939784281239
CHI,2010,14,2,-0.7026933783108873
CHI,2011,14,2,-0.18592821125540848
CHI,2012,14,2,-0.5227186436883371
CHI,2013,16,2,-1.0240507265889676
CHI,2014,14,2,-0.6246601764596706
CHI,2015,15,2,-0.43782524814284646
CHI,2016,16,2,-0.6825200983585877
CHI,2017,19,2,-0.6100618608755529
CHI,2018,18,2,-0.607609537258174
CHI,2019,17,2,-0.3754223975008581
CLE,1996,13,2,-0.4724853663571627
CLE,1997,16,2,-0.5771245008728119
CLE,1998,16,2,-0.40555644805716495
CLE,1999,18,2,-0.655937811525949
CLE,2000,18,2,-0.5864526989719476
CLE,2001,15,2,-0.5481592686494304
CLE,2002,12,2,-0.6380856027093373
CLE,2003,15,2,-0.5540813726983146
CLE,2004,16,2,-0.5666602462639261
CLE,2005,15,2,-0.49939364094981653
CLE,2006,15,2,-0.5302906448211147
CLE,2007,16,2,-1.0164889389699763
CLE,2008,16,2,-0.5826625394276208
CLE,2009,15,2,-0.4479912901314459
CLE,2010,16,2,-0.44411521325079584
CLE,2011,16,2,-0.6642352473775524
CLE,2012,16,2,-0.5958681395233072
CLE,2013,18,2,-0.9761330713287049
CLE,2014,17,2,-0.6939449257250837
CLE,2015,17,2,-0.6389707753355848
CLE,2016,19,2,-0.42034656452320024
CLE,2017,16,2,-0.42187676349915326
CLE,2018,21,2,-0.962661544858089
CLE,2019,18,2,-0.6339858644227326
DAL,1996,17,2,-0.5591671659905022
DAL,1997,16,2,-0.40940492811719126
DAL,1998,14,2,-0.48557985942054827
DAL,1999,17,2,-0.8656417940801737
DAL,2000,15,2,-0.5667231455577257
DAL,2001,17,2,-0.7856069557651839
DAL,2002,16,2,-0.6112793798688803
DAL,2003,13,2,-0.3831507738056412
DAL,2004,14,2,-0.2826749300436126
DAL,2005,16,2,-0.4053010540603988
DAL,2006,15,2,-0.6024216796152064
DAL,2007,15,2,-0.4505470819319953
DAL,2008,15,2,-0.74684364953925
DAL,2009,13,2,-0.6712843917621132
DAL,2010,15,2,-0.3478941539296054
DAL,2011,15,2,-0.7171872579788489
DAL,2012,21,2,-0.8141856882034575
DAL,2013,15,2,-0.357686278278062
DAL,2014,16,2,-0.3605686684877415
DAL,2015,15,2,-0.28160522429285206
DAL,2016,19,2,-0.528680256162679
DAL,2017,21,2,-0.5669392437257712
DAL,2018,16,2,-0.4758078424794244
DAL,2019,18,2,-0.508455831825774
DEN,1996,17,2,-0.4309884847174285
DEN,1997,15,2,-0.635792840688002
DEN,1998,16,2,-0.5430652511441025
DEN,1999,15,2,-0.4054370906388657
DEN,2000,15,2,-0.5662321384764852
DEN,2001,17,2,-0.2803748530596593
DEN,2002,16,2,-0.5570851850996288
DEN,2003,15,2,-0.6660433594489983
DEN,2004,15,2,-0.25791346602653265
DEN,2005,17,2,-0.45054200841533304
DEN,2006,14,2,-0.4566854499083648
DEN,2007,15,2,-0.5110735951110332
DEN,2008,13,2,-0.5811250348063801
DEN,2009,13,2,-0.6263536894244892
DEN,2010,14,2,-0.24374771647040083
DEN,2011,15,2,-0.10787035385285015
DEN,2012,15,2,-0.18743263471906338
DEN,2013,14,2,-0.2605930804542989
DEN,2014,18,2,-0.6499346396062923
DEN,2015,16,2,-0.6423427878778399
DEN,2016,17,2,-0.22388350817297584
DEN,2017,17,2,-0.5996915079665665
DEN,2018,18,2,-0.40212971678555537
DEN,2019,17,2,-0.38154502356670933
DET,1996,14,2,-0.44568817923057025
DET,1997,14,2,-0.33959459325458724
DET,1998,17,2,-0.48391750012310786
DET,1999,14,2,-0.814997413646897
DET,2000,14,2,-0.4856843760270874
DET,2001,15,2,-0.1505273816339414
DET,2002,15,2,-0.7790716624262133
DET,2003,13,2,-0.3344773001207279
DET,2004,15,2,-0.6048691253925871
DET,2005,15,2,-0.526576674762397
DET,2006,15,2,-0.42262407237055405
DET,2007,15,2,-0.3117992113299711
